"deviceVendor","deviceProduct","deviceHostName","deviceAddress","_count"
"Microsoft","System or Application Event","OBT-QV17.odeabank.com.tr","10.224.15.28","5"
"Microsoft","System or Application Event","OBTVM-DRIXUI01.odeabank.com.tr","10.224.145.32","5"
"Microsoft","System or Application Event","OBTVM-DRTRM17.odeabank.com.tr","10.224.172.37","5"
"Microsoft","System or Application Event","OBTVM-DRTRM30.odeabank.com.tr","10.224.172.20","5"
"Microsoft","System or Application Event","OBTVM-SPF12.odeabank.com.tr","10.224.121.62","5"
"Microsoft","System or Application Event","PW1040-0044.odeabank.com.tr","10.225.3.114","5"
"Microsoft","System or Application Event","PW2030-0025.odeabank.com.tr","10.225.12.55","5"
"Microsoft","System or Application Event","PW2160-0017.odeabank.com.tr","10.225.21.104","5"
"Microsoft","System or Application Event","PW2190-0003.odeabank.com.tr","10.225.24.64","5"
"Microsoft","System or Application Event","PW2280-0015.odeabank.com.tr","10.225.49.153","5"
"Microsoft","System or Application Event","PW9019-0045.odeabank.com.tr","10.225.208.204","5"
"Microsoft","System or Application Event","PW9019-0166.odeabank.com.tr","10.225.201.19","5"
"Microsoft","System or Application Event","PW9019-0190.odeabank.com.tr","10.225.201.48","5"
"Microsoft","System or Application Event","PW9019-0261.odeabank.com.tr","10.225.208.73","5"
"Microsoft","System or Application Event","PW9019-0990.odeabank.com.tr","10.225.208.188","5"
"Microsoft","System or Application Event","PW9019-1010.odeabank.com.tr","10.225.201.31","5"
"Microsoft","System or Application Event","PWHAZ-0014.odeabank.com.tr","10.225.209.62","5"
"","","obtvm-grdcm1.odeabank.com.tr","10.224.104.33","4"
"Aruba Networks","ClearPass","10.224.104.112","10.224.121.100","4"
"CISCO","CiscoRouter","","10.224.134.66","4"
"CISCO","CiscoRouter","","10.225.198.31","4"
"CISCO","CiscoRouter","","10.225.36.2","4"
"CISCO","CiscoRouter","","10.225.48.3","4"
"CISCO","CiscoRouter","","10.227.254.98","4"
"Fortinet","Fortigate","OBT-DcFw4","","4"
"Microsoft","Microsoft Windows","DSVD1030-01.odeabank.com.tr","10.225.4.227","4"
"Microsoft","Microsoft Windows","DSVD2010-01.odeabank.com.tr","10.225.6.159","4"
"Microsoft","Microsoft Windows","DSVD2050-01.odeabank.com.tr","10.225.9.221","4"
"Microsoft","Microsoft Windows","DSVP1050-01.odeabank.com.tr","10.225.7.194","4"
"Microsoft","Microsoft Windows","DSZD2060-01.odeabank.com.tr","10.225.2.99","4"
"Microsoft","Microsoft Windows","NW-LR0BQDM3.odeabank.com.tr","10.225.225.221","4"
"Microsoft","Microsoft Windows","OBT-DRBCK01.odeabank.com.tr","10.224.144.56","4"
"Microsoft","Microsoft Windows","OBTVM-ASSETP2.odeabank.com.tr","10.224.58.57","4"
"Microsoft","Microsoft Windows","OBTVM-BMRGW1.odeabank.com.tr","10.224.21.22","4"
"Microsoft","Microsoft Windows","OBTVM-DREXPR1.odeabank.com.tr","10.224.146.141","4"
"Microsoft","Microsoft Windows","OBTVM-SEPDMZ1.odeabank.com.tr","10.224.21.33","4"
"Microsoft","Microsoft Windows","OBTVM-TSTIBSG1.odeabank.com.tr","10.224.22.155","4"
"Microsoft","Microsoft Windows","OBTVM-TSTIMZ2.odeabank.com.tr","10.224.59.81","4"
"Microsoft","Microsoft Windows","OBTVM-TSTOCACQ2.odeabank.com.tr","10.224.123.16","4"
"Microsoft","Microsoft Windows","PW1130-0006.odeabank.com.tr","10.225.19.100","4"
"Microsoft","Microsoft Windows","PW2030-0014.odeabank.com.tr","10.225.12.76","4"
"Microsoft","Microsoft Windows","PW9019-0154.odeabank.com.tr","10.225.208.149","4"
"Microsoft","Microsoft Windows","PW9019-0524.odeabank.com.tr","10.225.208.30","4"
"Microsoft","Microsoft Windows","PW9990-0007.odeabank.com.tr","10.225.237.145","4"
"Microsoft","Microsoft Windows","PWG2170-0001.odeabank.com.tr","10.225.18.67","4"
"Microsoft","Microsoft Windows WindowsUpdateClient","NW-5CG7282623.odeabank.com.tr","10.225.176.175","4"
"Microsoft","Microsoft Windows WindowsUpdateClient","PW1110-0009.odeabank.com.tr","10.225.31.153","4"
"Microsoft","Microsoft Windows WindowsUpdateClient","PW2200-0011.odeabank.com.tr","10.225.32.70","4"
"Microsoft","System or Application Event","DSTE1250-01.odeabank.com.tr","10.225.44.223","4"
"Microsoft","System or Application Event","DSTE2220-02.odeabank.com.tr","10.225.34.224","4"
"Microsoft","System or Application Event","DSZD2180-01.odeabank.com.tr","10.225.33.228","4"
"Microsoft","System or Application Event","FloorPC-3801.odeabank.com.tr","10.225.184.167","4"
"Microsoft","System or Application Event","OBT-BGATA01.odeabank.com.tr","10.224.104.122","4"
"Microsoft","System or Application Event","OBT-CLSANLZ2.odeabank.com.tr","10.224.60.76","4"
"Microsoft","System or Application Event","OBT-DRCLSSRV1.odeabank.com.tr","10.224.170.77","4"
"Microsoft","System or Application Event","OBT-DRCSQL01.odeabank.com.tr","10.224.144.49","4"
"Microsoft","System or Application Event","OBT-DRDC1.odeabank.com.tr","10.224.128.16","4"
"Microsoft","System or Application Event","OBTVM-DRCHCZ1.odeabank.com.tr","10.224.146.151","4"
"Microsoft","System or Application Event","OBTVM-DRIPTAP2.odeabank.com.tr","10.224.140.20","4"
"Microsoft","System or Application Event","OBTVM-DRIXSR1.odeabank.com.tr","10.224.145.28","4"
"Microsoft","System or Application Event","OBTVM-DRTRM18.odeabank.com.tr","10.224.172.38","4"
"Microsoft","System or Application Event","OBTVM-DSSRV02.odeabank.com.tr","10.224.114.22","4"
"Microsoft","System or Application Event","OBTVM-DWHDRA01.odeabank.com.tr","10.224.145.108","4"
"Microsoft","System or Application Event","OBTVM-OCUI2.odeabank.com.tr","10.224.113.133","4"
"Microsoft","System or Application Event","OBTVM-SGK2.odeabank.com.tr","10.224.15.39","4"
"Microsoft","System or Application Event","OBTVM-STGW01.odeabank.com.tr","10.224.115.131","4"
"Microsoft","System or Application Event","OBTVM-TSTIBMA1.odeabank.com.tr","10.224.22.126","4"
"Microsoft","System or Application Event","OBTVM-TSTIBUI1.odeabank.com.tr","10.224.74.195","4"
"Microsoft","System or Application Event","OBTVM-TSTODCSM1.odeabank.com.tr","10.224.22.184","4"
"Microsoft","System or Application Event","PC9109-0006.odeabank.com.tr","10.225.209.189","4"
"Microsoft","System or Application Event","PCWC03-102.odeabank.com.tr","10.225.225.225","4"
"Microsoft","System or Application Event","PW2030-0004.odeabank.com.tr","10.225.12.80","4"
"Microsoft","System or Application Event","PW2030-0020.odeabank.com.tr","10.225.12.177","4"
"Microsoft","System or Application Event","PW2030-0031.odeabank.com.tr","10.225.12.162","4"
"Microsoft","System or Application Event","PW9019-0077.odeabank.com.tr","10.225.208.155","4"
"Microsoft","System or Application Event","PW9019-0121.odeabank.com.tr","10.225.201.85","4"
"Microsoft","System or Application Event","PW9019-0242.odeabank.com.tr","10.225.208.236","4"
"Microsoft","System or Application Event","PW9019-0266.odeabank.com.tr","10.225.208.63","4"
"Microsoft","System or Application Event","PW9019-0309.odeabank.com.tr","10.225.208.81","4"
"Microsoft","System or Application Event","PW9019-0412.odeabank.com.tr","10.225.201.95","4"
"Microsoft","System or Application Event","PW9019-0535.odeabank.com.tr","10.225.208.28","4"
"Microsoft","System or Application Event","PWHAZ-0005.odeabank.com.tr","10.225.209.102","4"
"CISCO","CiscoRouter","","10.224.104.112","3"
